process,feature,unique_values,modal_value,modal_count,modal_share,zero_share,mean,standard_deviation,minimum,maximum,constant,near_constant_98_percent,dominant_value_80_percent,duplicate_of
WTi,Sensor_15,1630,0.1374309161345143,88,0.05057471264367816,0.0011494252873563218,0.13757525767956053,0.02707706738081469,0.0,0.8282854190494562,False,False,False,
WTi,Sensor_16,1017,0.2060436261126946,724,0.4160919540229885,0.0005747126436781609,0.20604953991112543,0.015855976469203868,0.0,0.5900426320380389,False,False,False,
WTi,Sensor_17,76,0.1395550900198975,152,0.08735632183908046,0.0011494252873563218,0.13966936825873208,0.027228542546629587,0.0,0.840881733423751,False,False,False,
WTi,Sensor_18,72,0.1884526256909889,805,0.46264367816091956,0.0005747126436781609,0.1884528794141354,0.01454672620432236,0.0,0.5405546014081277,False,False,False,
WTi,Sensor_19,1651,0.0234506980754065,90,0.05172413793103448,0.0005747126436781609,0.07280774694817069,0.14402553312542749,0.0,0.8703253371936345,False,False,False,
WTi,Sensor_20,433,0.4517893896728868,1282,0.7367816091954023,0.0005747126436781609,0.41397698458510246,0.14045929043398708,0.0,0.5491111256563139,False,False,False,
WTi,Sensor_21,1627,0.0846242904763325,88,0.05057471264367816,0.0005747126436781609,0.11547662821140034,0.11180987398459505,0.0,0.9543652355187876,False,False,False,
WTi,Sensor_22,923,0.0883654398705941,88,0.05057471264367816,0.0005747126436781609,0.1169818013078465,0.10448395271772336,0.0,0.9015960678565688,False,False,False,
WTi,Sensor_23,714,0.0317111825632412,88,0.05057471264367816,0.014367816091954023,0.0406158142428025,0.046444399988404564,0.0,0.6934117974621183,False,False,False,
WTi,Sensor_24,1629,0.0367971514054385,88,0.05057471264367816,0.014367816091954023,0.04620491321811968,0.052573313544310156,0.0,0.7473486184274307,False,False,False,
WTi,Sensor_25,950,0.0620712461260438,89,0.051149425287356325,0.0005747126436781609,0.08729480281821024,0.09088345328595351,0.0,0.7691604398304925,False,False,False,
